"","datetime","date","air_temperature","air_temperature_qc_agg","air_temperature_qc_tests"
"100",2017-01-05 03:00:00,NA,NA,NA,NA
"101",2017-01-05 04:00:00,NA,NA,NA,NA
"102",2017-01-05 05:00:00,NA,NA,NA,NA
"103",2017-01-05 06:00:00,NA,NA,NA,NA
"104",2017-01-05 07:00:00,NA,NA,NA,NA
"105",2017-01-05 08:00:00,NA,NA,NA,NA
"106",2017-01-05 09:00:00,NA,NA,NA,NA
"107",2017-01-05 10:00:00,NA,NA,NA,NA
"108",2017-01-05 11:00:00,NA,NA,NA,NA
"109",2017-01-05 12:00:00,NA,NA,NA,NA
"110",2017-01-05 13:00:00,NA,NA,NA,NA
"111",2017-01-05 14:00:00,NA,NA,NA,NA
"112",2017-01-05 15:00:00,NA,NA,NA,NA
"113",2017-01-05 16:00:00,NA,NA,NA,NA
"114",2017-01-05 17:00:00,NA,NA,NA,NA
"115",2017-01-05 18:00:00,NA,NA,NA,NA
"116",2017-01-05 19:00:00,NA,NA,NA,NA
"117",2017-01-05 20:00:00,NA,NA,NA,NA
"118",2017-01-05 21:00:00,NA,NA,NA,NA
"119",2017-01-05 22:00:00,NA,NA,NA,NA
"120",2017-01-05 23:00:00,NA,NA,NA,NA
"121",2017-01-06 00:00:00,2017-01-06,8.8454285,1,NA
"122",2017-01-06 01:00:00,2017-01-06,6.848431,1,NA
"123",2017-01-06 02:00:00,2017-01-06,7.002041,1,NA
"124",2017-01-06 03:00:00,2017-01-06,6.3856565,1,NA
"125",2017-01-06 04:00:00,2017-01-06,6.2731515,1,NA
"126",2017-01-06 05:00:00,2017-01-06,5.743408,1,NA
"127",2017-01-06 06:00:00,2017-01-06,5.480028,1,NA
"128",2017-01-06 07:00:00,2017-01-06,5.171139,1,NA
"129",2017-01-06 08:00:00,2017-01-06,4.934061,1,NA
"130",2017-01-06 09:00:00,2017-01-06,4.696304,1,NA
"131",2017-01-06 10:00:00,2017-01-06,4.103567,1,NA
"132",2017-01-06 11:00:00,2017-01-06,3.46356,1,NA
"133",2017-01-06 12:00:00,2017-01-06,3.481209,1,NA
"134",2017-01-06 13:00:00,2017-01-06,3.549202,1,NA
"135",2017-01-06 14:00:00,2017-01-06,3.3027285,1,NA
"136",2017-01-06 15:00:00,2017-01-06,3.277233,1,NA
"137",2017-01-06 16:00:00,NA,NA,NA,NA
"138",2017-01-06 17:00:00,2017-01-06,6.480036,1,NA
"139",2017-01-06 18:00:00,2017-01-06,6.950928,1,NA
"140",2017-01-06 19:00:00,2017-01-06,7.0119035,1,NA
"141",2017-01-06 20:00:00,2017-01-06,7.507027,1,NA
"142",2017-01-06 21:00:00,2017-01-06,8.0393945,1,NA
"143",2017-01-06 22:00:00,2017-01-06,8.090525,1,NA
"144",2017-01-06 23:00:00,2017-01-06,8.029606,1,NA
"145",2017-01-07 00:00:00,2017-01-07,7.461365,1,NA
"146",2017-01-07 01:00:00,2017-01-07,7.245232,1,NA
"147",2017-01-07 02:00:00,2017-01-07,7.078796,1,NA
"148",2017-01-07 03:00:00,2017-01-07,7.214668,1,NA
"149",2017-01-07 04:00:00,2017-01-07,7.1807,1,NA
"150",2017-01-07 05:00:00,2017-01-07,7.180702,1,NA
"151",2017-01-07 06:00:00,2017-01-07,7.231651,1,NA
"152",2017-01-07 07:00:00,2017-01-07,6.82885,1,NA
"153",2017-01-07 08:00:00,2017-01-07,6.9834635,1,NA
"154",2017-01-07 09:00:00,2017-01-07,6.7159575,1,NA
"155",2017-01-07 10:00:00,2017-01-07,6.1100635,1,NA
"156",2017-01-07 11:00:00,2017-01-07,5.65992,1,NA
"157",2017-01-07 12:00:00,2017-01-07,5.693893,1,NA
"158",2017-01-07 13:00:00,2017-01-07,5.626022,1,NA
"159",2017-01-07 14:00:00,2017-01-07,5.727924,1,NA
"160",2017-01-07 15:00:00,NA,NA,NA,NA
"161",2017-01-07 16:00:00,2017-01-07,9.5998685,1,NA
"162",2017-01-07 17:00:00,2017-01-07,11.792055,1,NA
"163",2017-01-07 18:00:00,2017-01-07,13.76884,1,NA
"164",2017-01-07 19:00:00,2017-01-07,14.2012,1,NA
"165",2017-01-07 20:00:00,2017-01-07,14.224765,1,NA
"166",2017-01-07 21:00:00,2017-01-07,14.40769,1,NA
"167",2017-01-07 22:00:00,2017-01-07,14.825785,1,NA
"168",2017-01-07 23:00:00,2017-01-07,14.683365,1,NA
"169",2017-01-08 00:00:00,2017-01-08,14.36789,1,NA
"170",2017-01-08 01:00:00,2017-01-08,13.4547,1,NA
"171",2017-01-08 02:00:00,2017-01-08,13.7654,1,NA
"172",2017-01-08 03:00:00,2017-01-08,13.89634,1,NA
"173",2017-01-08 04:00:00,2017-01-08,13.86321,1,NA
"174",2017-01-08 05:00:00,2017-01-08,13.071375,1,NA
"175",2017-01-08 06:00:00,2017-01-08,13.377155,1,NA
"176",2017-01-08 07:00:00,2017-01-08,13.444205,1,NA
"177",2017-01-08 08:00:00,2017-01-08,12.971545,1,NA
"178",2017-01-08 09:00:00,2017-01-08,13.26238,1,NA
"179",2017-01-08 10:00:00,2017-01-08,13.512525,1,NA
"180",2017-01-08 11:00:00,2017-01-08,13.223645,1,NA
"181",2017-01-08 12:00:00,2017-01-08,13.81747,1,NA
"182",2017-01-08 13:00:00,2017-01-08,13.783535,1,NA
"183",2017-01-08 14:00:00,2017-01-08,13.8005,1,NA
"184",2017-01-08 15:00:00,2017-01-08,14.071925,1,NA
"185",2017-01-08 16:00:00,2017-01-08,14.624665,1,NA
"186",2017-01-08 17:00:00,2017-01-08,15.52164,1,NA
"187",2017-01-08 18:00:00,2017-01-08,16.081055,1,NA
"188",2017-01-08 19:00:00,2017-01-08,16.14721,1,NA
"189",2017-01-08 20:00:00,2017-01-08,16.08889,1,NA
"190",2017-01-08 21:00:00,2017-01-08,15.95359,1,NA
