"","thalli","date","run","start_time","end_time","tank","treatment","hach_start_unit","hach_end_unit","hach_period","unit_ph_hach","unit_temp_hach","unit_sal_hach","unit_do_hach","par","thalli_weight","discrete_collection_time","header_hach_time","header_pH_hach","header_temp_hach","header_sal_hach","header_do_hach","repro_apices","veg_apices","wwr","wwv","wwrecp","concept","oo_in_1","oo_in_2","oo_in_3","dwr","dwv","dwrecp","oo_disc_1","oo_disc_2","oo_disc_3","oo_disc_4","ph_probe_location","hobo_logger_location","notes","unit_ph_corrected","avg_disc_oo","unit_avg_sal","unit_avg_ph_c","unit_avg_do","unit_avg_temp"
"16","B2","11/12/2019",1,"11:23","16:00","B",2,"15:29","15:55","end",6.51,16.3,27,9.04,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","","",6.03846153846154,NA,27.0333333333333,6.35897435897436,9.51,16.2
"17","B2","11/12/2019",1,"11:23","16:00","B",2,"14:05","14:41","mid",6.65,16.4,27.1,9.19,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","","",6.21794871794872,NA,27.0333333333333,6.35897435897436,9.51,16.2
"18","B2","11/12/2019",1,"11:23","16:00","B",2,"12:39","13:12","start",7.12,15.9,27,10.3,753,27.232,NA,NA,NA,NA,NA,NA,39,10,19.98,5.689,0.546,206,68,28,25,2.623,1.347,0.07,516,532,1400,NA,"","probe #8=high salinity large resevoir","am flow issue-resolved",6.82051282051282,816,27.0333333333333,6.35897435897436,9.51,16.2
"19","B3","11/12/2019",1,"11:23","16:00","B",3,"14:05","14:41","mid",8.03,16.6,30.6,9.14,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","","",7.98717948717949,NA,30.5666666666667,8.03846153846154,9.41,16.2666666666667
"20","B3","11/12/2019",1,"11:23","16:00","B",3,"12:39","13:12","start",8.12,15.8,30.5,10.02,766,28.713,NA,NA,NA,NA,NA,NA,33,12,22.418,4.925,1.529,374,25,14,56,3.447,1.386,0.271,375,278,197,NA,"","probe #9=B1","am flow issue-resolved",8.1025641025641,283.333333333333,30.5666666666667,8.03846153846154,9.41,16.2666666666667
"21","B3","11/12/2019",1,"11:23","16:00","B",3,"15:29","15:55","end",8.06,16.4,30.6,9.07,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","","",8.02564102564103,NA,30.5666666666667,8.03846153846154,9.41,16.2666666666667
"22","B4","11/12/2019",1,"11:23","16:00","B",4,"15:29","15:55","end",7.43,16.6,30.6,9.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","","",7.21794871794872,NA,30.5666666666667,7.25641025641026,9.16,16.5333333333333
"23","B4","11/12/2019",1,"11:23","16:00","B",4,"14:05","14:41","mid",7.34,16.7,30.6,9.04,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","","",7.1025641025641,NA,30.5666666666667,7.25641025641026,9.16,16.5333333333333
"24","B4","11/12/2019",1,"11:23","16:00","B",4,"12:39","13:12","start",7.61,16.3,30.5,9.24,757,30.443,NA,NA,NA,NA,NA,NA,34,13,21.241,7.516,1.363,362,59,58,58,3.012,1.85,0.202,387,426,225,542,"","09:30am launch of hobo loggers, 15min interval, installed in water at 10:26am","",7.44871794871795,395,30.5666666666667,7.25641025641026,9.16,16.5333333333333
"25","C1","11/12/2019",1,"11:23","16:00","C",1,"15:29","15:55","end",8.12,16.5,26.5,9.16,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","","",8.1025641025641,NA,26.6333333333333,8.08974358974359,9.80666666666667,16.1333333333333
