thalli,date,run,start_time,end_time,thalli,tank,treatment,hach_start_unit,hach_end_unit,hach_period,unit_ph_hach,unit_temp_hach,unit_sal_hach,unit_do_hach,par,thalli_weight,discrete_collection_time,header_hach_time,header_pH_hach,header_temp_hach,header_sal_hach,header_do_hach,repro_apices,veg_apices,wwr,wwv,wwrecp,concept,oo_in_1,oo_in_2,oo_in_3,dwr,dwv,dwrecp,oo_disc_1,oo_disc_2,oo_disc_3,oo_disc_4,ph_probe_location,hobo_logger_location,notes
B2,11/15/2019,3,10:10,14:22,B2,B,2,NA,NA,end,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,
B3,11/15/2019,3,10:10,14:22,B3,B,3,NA,NA,end,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,
B4,11/15/2019,3,10:10,14:22,B4,B,4,NA,NA,end,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,
C1,11/15/2019,3,10:10,14:22,C1,C,1,NA,NA,end,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,
C2,11/15/2019,3,10:10,14:22,C2,C,2,NA,NA,end,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,
C3,11/15/2019,3,10:10,14:22,C3,C,3,NA,NA,end,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,
C4,11/15/2019,3,10:10,14:22,C4,C,4,NA,NA,end,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,
D1,11/15/2019,3,10:10,14:22,D1,D,1,NA,NA,end,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,
D2,11/15/2019,3,10:10,14:22,D2,D,2,NA,NA,end,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,
D3,11/15/2019,3,10:10,14:22,D3,D,3,NA,NA,end,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,
D4,11/15/2019,3,10:10,14:22,D4,D,4,NA,NA,end,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,
E1,11/15/2019,3,10:10,14:22,E1,E,1,NA,NA,end,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,
E2,11/15/2019,3,10:10,14:22,E2,E,2,NA,NA,end,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,
E3,11/15/2019,3,10:10,14:22,E3,E,3,NA,NA,end,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,
E4,11/15/2019,3,10:10,14:22,E4,E,4,NA,NA,end,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,
