"","datetime","date","salinity","F_Sal","median","stdev","hi.95","lo.95","month_yr"
"48",2017-01-02 23:00:00,2017-01-02,30.469,1,29.8525,0.932373173941362,31.7386245027375,27.9663754972625,"2017-01"
"49",2017-01-03 00:00:00,2017-01-03,30.1375,1,30.3415,0.703597555323118,31.7486951106462,28.9343048893538,"2017-01"
"50",2017-01-03 01:00:00,2017-01-03,30.068,1,30.3415,0.216782830846838,30.7750656616937,29.9079343383063,"2017-01"
"51",2017-01-03 02:00:00,2017-01-03,30.158,1,30.24675,0.201853642787481,30.6494067469231,29.8440932530769,"2017-01"
"52",2017-01-03 03:00:00,2017-01-03,30.0285,1,30.12025,0.199047760727092,30.5183455214542,29.7508798066464,"2017-01"
"53",2017-01-03 04:00:00,2017-01-03,29.803,1,30.0915,0.151627241987779,30.3947544839756,29.7882455160244,"2017-01"
"54",NA,NA,NA,NA,NA,NA,NA,NA,NA
"55",NA,NA,NA,NA,NA,NA,NA,NA,NA
"56",2017-01-03 07:00:00,2017-01-03,25.5925,1,27.689,1.57883997497391,30.9080048219341,24.4699951780659,"2017-01"
"57",2017-01-03 08:00:00,2017-01-03,26.596,1,26.693,1.19278839413072,29.0785767882614,24.3438176577288,"2017-01"
"58",2017-01-03 09:00:00,2017-01-03,26.795,1,26.574,0.682752686530025,27.93950537306,25.2084946269399,"2017-01"
"59",2017-01-03 10:00:00,2017-01-03,28.245,1,26.596,0.958937215866794,28.5138744317336,24.6798861228316,"2017-01"
"60",2017-01-03 11:00:00,2017-01-03,28.725,1,27.6675,0.967388351929814,29.6022767038596,25.7327232961404,"2017-01"
"61",2017-01-03 12:00:00,2017-01-03,29.2875,1,28.24575,0.891273131066199,30.0235209181104,26.4632037378676,"2017-01"
"62",2017-01-03 13:00:00,2017-01-03,29.559,1,28.7945,0.577010452707266,29.9867900527553,27.6404790945855,"2017-01"
"63",2017-01-03 14:00:00,2017-01-03,29.7975,1,29.345,0.506050803338571,30.3372322276669,28.3328983933229,"2017-01"
"64",2017-01-03 15:00:00,2017-01-03,29.973,1,29.58775,0.395233106725195,30.3554583479384,28.7972837865496,"2017-01"
"65",2017-01-03 16:00:00,2017-01-03,29.4525,1,29.7875,0.219220173765885,30.2259403475318,29.3490596524682,"2017-01"
"66",2017-01-03 17:00:00,2017-01-03,29.401,1,29.7875,0.24665316664374,30.2808063332875,29.2941936667125,"2017-01"
"67",2017-01-03 18:00:00,2017-01-03,28.541,1,29.386,0.465872321427014,30.317744642854,28.454255357146,"2017-01"
"68",2017-01-03 19:00:00,2017-01-03,28.5185,1,29.3455,0.493197663213186,30.3386439291751,28.3559861572018,"2017-01"
"69",2017-01-03 20:00:00,2017-01-03,28.486,1,28.60475,0.41162491333787,29.4279998266757,27.7815001733243,"2017-01"
"70",2017-01-03 21:00:00,2017-01-03,28.677,1,28.528,0.32489518526789,29.1777903705358,27.8782096294642,"2017-01"
"71",NA,NA,NA,NA,NA,NA,NA,NA,NA
"72",2017-01-03 23:00:00,2017-01-03,30.327,1,28.8505,0.77359589762389,30.3976917952478,27.3033082047522,"2017-01"
"73",2017-01-04 00:00:00,2017-01-04,30.542,1,30.00775,0.779476387209525,31.566702774419,28.448797225581,"2017-01"
"74",2017-01-04 01:00:00,2017-01-04,30.6855,1,30.281,0.519461367516736,31.3199227350335,29.2420772649665,"2017-01"
"75",2017-01-04 02:00:00,2017-01-04,30.381,1,30.4955,0.216561036125959,30.9286220722519,30.0623779277481,"2017-01"
"76",2017-01-04 03:00:00,2017-01-04,30.416,1,30.4955,0.13993813981087,30.7753762796217,30.2156237203783,"2017-01"
"77",2017-01-04 04:00:00,2017-01-04,30.4445,1,30.4525,0.127300124484814,30.7085109370629,30.1964890629371,"2017-01"
"78",2017-01-04 05:00:00,2017-01-04,30.3785,1,30.4435,0.123575141205067,30.6901502824101,30.1964418205118,"2017-01"
"79",NA,NA,NA,NA,NA,NA,NA,NA,NA
"80",2017-01-04 07:00:00,2017-01-04,27.462,1,29.5275,1.28364860571292,32.0947972114258,26.9602027885742,"2017-01"
"81",2017-01-04 08:00:00,2017-01-04,27.4515,1,27.95775,1.24938151411743,30.4565130282349,25.5344254414359,"2017-01"
"82",2017-01-04 09:00:00,2017-01-04,28.3485,1,27.86,0.825563482725676,29.5111269654514,26.2088730345486,"2017-01"
"83",2017-01-04 10:00:00,2017-01-04,29.232,1,27.864,0.735311233162791,29.3346224663256,26.3933775336744,"2017-01"
"84",2017-01-04 11:00:00,2017-01-04,29.942,1,28.334,0.846142189663301,30.0262843793266,26.6417156206734,"2017-01"
"85",2017-01-04 12:00:00,2017-01-04,30.595,1,29.343,1.00144041392531,31.2954091079731,27.3401191721494,"2017-01"
"86",2017-01-04 13:00:00,2017-01-04,31.267,1,30.106,0.875811178721014,31.857622357442,28.354377642558,"2017-01"
"87",2017-01-04 14:00:00,2017-01-04,31.5785,1,30.66325,0.774847208267361,32.236387453778,29.090112546222,"2017-01"
"88",2017-01-04 15:00:00,2017-01-04,30.921,2,31.0785,0.608407463289936,32.2953149265799,29.8616850734201,"2017-01"
"89",2017-01-04 16:00:00,2017-01-04,28.2475,1,31.0785,1.59778158184745,34.2740631636949,27.8829368363051,"2017-01"
"90",2017-01-04 17:00:00,2017-01-04,29.799,1,29.8795,1.57115985968665,33.0218197193733,26.7395026191198,"2017-01"
"91",2017-01-04 18:00:00,2017-01-04,29.59,1,29.5955,1.21508364158387,32.0256672831677,27.1653327168323,"2017-01"
"92",2017-01-04 19:00:00,2017-01-04,28.785,1,29.0495,0.779733292862878,30.6089665857258,27.6060898796436,"2017-01"
"93",2017-01-04 20:00:00,2017-01-04,28.496,1,29.0495,0.634448111723409,30.3183962234468,27.7806037765532,"2017-01"
"94",2017-01-04 21:00:00,2017-01-04,27.1865,1,28.647,0.962767338615562,30.5892174603126,26.7047825396874,"2017-01"
"95",2017-01-04 22:00:00,2017-01-04,27.636,1,27.82925,0.836434651091453,29.5021193021829,26.3788582575592,"2017-01"
